amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y
100016,-0.033055090768621787,-0.00031627759670682654,
100025,0.025017601049311722,0.046143288414864925,
100033,0.4773458959806238,0.3362921056230763,
101206,0.4509392715300502,0.32528591355184844,
101207,-0.24242050015436856,-0.026964750873929244,
101208,0.0685429952818637,0.060761500834302096,
102885,0.18318548216870223,0.17520119946365442,
102886,-0.13226101829615933,-0.01832224809009908,
102887,0.1272785953848785,0.2566304169554934,
118632,0.21776763418747302,0.18088593620415083,
118633,0.28406736513935327,0.18128823270614958,
118634,0.2236521211328215,0.0758063522976058,
118635,0.21995365120873123,0.16236841860639406,
118636,0.10622598136417083,0.04152061472814461,
119092,0.034029890817970365,0.005559688070353008,
119093,0.19794246952869954,0.20575450839484977,
119094,0.30918202012534524,0.3606601747719518,
119095,-0.454228926346248,-0.11065546853000663,
119120,0.0572307956371807,0.05606028649588968,
119551,0.48883881388717176,0.27727427651752534,
119552,0.08251685485100624,0.15383382573944893,
119598,0.8453224636924352,0.27814418371202754,
119599,0.1190796983675011,-0.006866124385353167,
120503,0.04807407420549259,0.1480416951560286,
120504,0.11500730028249406,0.28369809430069837,
120505,0.3035341170540422,0.30206534630200976,
120506,0.3289620693417177,0.18246287427399865,
120507,0.07014400079311978,0.07051904540600296,
120841,0.18155118861657193,0.16684258851596145,
120842,0.18605448815462422,0.10040620430039637,
120843,0.2848107293384283,0.2566188265022562,
120844,0.06837152766088916,0.0654165743882027,
125497,0.2934732237752924,0.1770571225538371,
125498,0.16670899216585977,0.12492937768565682,
148567,0.1458071475984759,0.3127857318272198,
148568,0.1049631940675948,0.13077495792463978,
148569,0.4446574419216476,0.23317122535147572,
149322,0.1912760461187113,0.16528044392382957,
149323,0.22305604128077272,0.24242464971409516,
149324,0.6208181174018113,0.25029675402929885,
